month,avg_hours
2024-01,40.337793406263465
2024-02,79.45066084645843
2024-03,113.0247538643233
2024-04,137.9528899583879
2024-05,155.1706919091853
2024-06,192.9901352046522
2024-07,142.86373426884776
2024-08,186.81789934933937
2024-09,165.52887011894686
2024-10,161.53276867636686
2024-11,161.3228901698885
2024-12,168.35528563271043
2025-01,2375.3704159876565
2025-02,2807.5705609592073
2025-03,3835.9639017440327
2025-04,4450.772050917647
2025-05,7278.19954113852
2025-06,6559.745979002831
2025-07,7475.883854338205
2025-08,7626.762278724255
2025-09,8839.657940394836
2025-10,8760.0
2025-11,8765.933333333332
2025-12,9243.466666666667
